"ccs","primers","filtered","denoised","read_ret_per"
237553,228027,86177,83944,0.3533695638447
376842,360757,136419,135599,0.359829849114483
269374,258350,93788,93400,0.346729825447148
366298,348377,126257,125952,0.343851181278631
250366,239698,86155,86000,0.343497120216004
424685,400874,111095,110494,0.260178720698871
241902,230793,84629,84336,0.348637051367909
237062,227200,62940,62770,0.26478305253478
479852,462049,176375,172529,0.35954627676867
390522,375580,143264,142280,0.364332867290447
270257,260391,93041,92798,0.343369459440459
359222,345287,124648,124311,0.346056199230559
280205,269873,97447,97047,0.346342856123196
264405,253863,90603,90013,0.34043607344793
296396,283575,102412,102020,0.34420167613598
231563,222948,79999,79798,0.34460600354979
361724,348785,132623,125152,0.345987548517654
494430,474446,179953,176692,0.357365046619339
324367,312116,114141,113644,0.350356232292434
354424,341301,123344,122765,0.34637891339187
282604,272043,97977,97688,0.345670974225418
299829,286036,72375,72074,0.240383685367326
348212,335507,120073,119558,0.343348305055541
278928,267963,88606,88201,0.316214220157173
208031,200516,76341,70590,0.339324427609347
312947,302174,115036,111913,0.357610074549365
320741,308827,111468,111077,0.346313692356138
526816,507217,184585,183847,0.348977631658871
344233,330917,120200,119717,0.347778975287088
326665,314404,117452,116948,0.358005908193409
322932,310444,113105,112506,0.348389134554643
296997,285361,102510,102232,0.344218965174732
